,Husband-Self-reported,Husband-DNA,Wife-Self-reported,Wife-DNA
Joint Coop,0.115*,0.002,0.091,-0.056
,(0.062),(0.162),(0.098),(0.065)
Household Credit,-0.049,-0.033,-0.005,0.099
,(0.066),(0.125),(0.106),(0.143)
Extension Access,0.427***,0.210**,0.084,-0.122
,(0.062),(0.096),(0.109),(0.141)
Cellphone,0.268,-0.086,0.027,-0.075
,(0.427),(0.342),(0.213),(0.457)
Fertilizer,0.091***,0.247*,-0.128,0.122
,(0.022),(0.146),(0.112),(0.172)
Consumption (%),-0.002,-0.001,-0.004***,0.002
,(0.004),(0.008),(0.001),(0.002)
Zone 1,-0.138***,0.186***,-0.203***,-0.165**
,(0.029),(0.052),(0.039),(0.073)
Zone 3,-0.703***,-0.643***,-0.429***,-0.593***
,(0.050),(0.087),(0.035),(0.070)
Zone 4,0.297***,0.318***,0.377***,0.321***
,(0.069),(0.117),(0.046),(0.052)
Age,0.002,0.003,0.008***,0.015***
,(0.005),(0.008),(0.002),(0.004)
Education,-0.010,0.006,0.002,0.012
,(0.008),(0.019),(0.022),(0.016)
Household size,0.068***,0.049**,-0.004,-0.014
,(0.018),(0.024),(0.012),(0.034)
Main occupation: Salaried employment,-0.143,-0.094,0.300**,-0.009
,(0.230),(0.290),(0.151),(0.319)
const,-0.257,-0.132,0.114,-0.183
,(0.384),(0.650),(0.368),(0.502)
N,729,729,729,729
